PassengerId	Pclass	Sex	Age	SibSp	Parch	Fare	Embarked
1	3	0	22	1	0	7.25	1
2	1	1	38	1	0	71.2833	0
3	3	1	26	0	0	7.925	1
4	1	1	35	1	0	53.1	1
5	3	0	35	0	0	8.05	1
6	3	0	999	0	0	8.4583	2
7	1	0	54	0	0	51.8625	1
8	3	0	2	3	1	21.075	1
9	3	1	27	0	2	11.1333	1
10	2	1	14	1	0	30.0708	0
11	3	1	4	1	1	16.7	1
12	1	1	58	0	0	26.55	1
13	3	0	20	0	0	8.05	1
14	3	0	39	1	5	31.275	1
15	3	1	14	0	0	7.8542	1
16	2	1	55	0	0	16	1
17	3	0	2	4	1	29.125	2
18	2	0	999	0	0	13	1
19	3	1	31	1	0	18	1
20	3	1	999	0	0	7.225	0
21	2	0	35	0	0	26	1
22	2	0	34	0	0	13	1
23	3	1	15	0	0	8.0292	2
24	1	0	28	0	0	35.5	1
25	3	1	8	3	1	21.075	1
26	3	1	38	1	5	31.3875	1
27	3	0	999	0	0	7.225	0
28	1	0	19	3	2	263	1
29	3	1	999	0	0	7.8792	2
30	3	0	999	0	0	7.8958	1
31	1	0	40	0	0	27.7208	0
32	1	1	999	1	0	146.5208	0
33	3	1	999	0	0	7.75	2
34	2	0	66	0	0	10.5	1
35	1	0	28	1	0	82.1708	0
36	1	0	42	1	0	52	1
37	3	0	999	0	0	7.2292	0
38	3	0	21	0	0	8.05	1
39	3	1	18	2	0	18	1
40	3	1	14	1	0	11.2417	0
41	3	1	40	1	0	9.475	1
42	2	1	27	1	0	21	1
43	3	0	999	0	0	7.8958	0
44	2	1	3	1	2	41.5792	0
45	3	1	19	0	0	7.8792	2
46	3	0	999	0	0	8.05	1
47	3	0	999	1	0	15.5	2
48	3	1	999	0	0	7.75	2
49	3	0	999	2	0	21.6792	0
50	3	1	18	1	0	17.8	1
51	3	0	7	4	1	39.6875	1
52	3	0	21	0	0	7.8	1
53	1	1	49	1	0	76.7292	0
54	2	1	29	1	0	26	1
55	1	0	65	0	1	61.9792	0
56	1	0	999	0	0	35.5	1
57	2	1	21	0	0	10.5	1
58	3	0	28.5	0	0	7.2292	0
59	2	1	5	1	2	27.75	1
60	3	0	11	5	2	46.9	1
61	3	0	22	0	0	7.2292	0
62	1	1	38	0	0	80	999
63	1	0	45	1	0	83.475	1
64	3	0	4	3	2	27.9	1
65	1	0	999	0	0	27.7208	0
66	3	0	999	1	1	15.2458	0
67	2	1	29	0	0	10.5	1
68	3	0	19	0	0	8.1583	1
69	3	1	17	4	2	7.925	1
70	3	0	26	2	0	8.6625	1
71	2	0	32	0	0	10.5	1
72	3	1	16	5	2	46.9	1
73	2	0	21	0	0	73.5	1
74	3	0	26	1	0	14.4542	0
75	3	0	32	0	0	56.4958	1
76	3	0	25	0	0	7.65	1
77	3	0	999	0	0	7.8958	1
78	3	0	999	0	0	8.05	1
79	2	0	0.83	0	2	29	1
80	3	1	30	0	0	12.475	1
81	3	0	22	0	0	9	1
82	3	0	29	0	0	9.5	1
83	3	1	999	0	0	7.7875	2
84	1	0	28	0	0	47.1	1
85	2	1	17	0	0	10.5	1
86	3	1	33	3	0	15.85	1
87	3	0	16	1	3	34.375	1
88	3	0	999	0	0	8.05	1
89	1	1	23	3	2	263	1
90	3	0	24	0	0	8.05	1
91	3	0	29	0	0	8.05	1
92	3	0	20	0	0	7.8542	1
93	1	0	46	1	0	61.175	1
94	3	0	26	1	2	20.575	1
95	3	0	59	0	0	7.25	1
96	3	0	999	0	0	8.05	1
97	1	0	71	0	0	34.6542	0
98	1	0	23	0	1	63.3583	0
99	2	1	34	0	1	23	1
100	2	0	34	1	0	26	1
101	3	1	28	0	0	7.8958	1
102	3	0	999	0	0	7.8958	1
103	1	0	21	0	1	77.2875	1
104	3	0	33	0	0	8.6542	1
105	3	0	37	2	0	7.925	1
106	3	0	28	0	0	7.8958	1
107	3	1	21	0	0	7.65	1
108	3	0	999	0	0	7.775	1
109	3	0	38	0	0	7.8958	1
110	3	1	999	1	0	24.15	2
111	1	0	47	0	0	52	1
112	3	1	14.5	1	0	14.4542	0
113	3	0	22	0	0	8.05	1
114	3	1	20	1	0	9.825	1
115	3	1	17	0	0	14.4583	0
116	3	0	21	0	0	7.925	1
117	3	0	70.5	0	0	7.75	2
118	2	0	29	1	0	21	1
119	1	0	24	0	1	247.5208	0
120	3	1	2	4	2	31.275	1
121	2	0	21	2	0	73.5	1
122	3	0	999	0	0	8.05	1
123	2	0	32.5	1	0	30.0708	0
124	2	1	32.5	0	0	13	1
125	1	0	54	0	1	77.2875	1
126	3	0	12	1	0	11.2417	0
127	3	0	999	0	0	7.75	2
128	3	0	24	0	0	7.1417	1
129	3	1	999	1	1	22.3583	0
130	3	0	45	0	0	6.975	1
131	3	0	33	0	0	7.8958	0
132	3	0	20	0	0	7.05	1
133	3	1	47	1	0	14.5	1
134	2	1	29	1	0	26	1
135	2	0	25	0	0	13	1
136	2	0	23	0	0	15.0458	0
137	1	1	19	0	2	26.2833	1
138	1	0	37	1	0	53.1	1
139	3	0	16	0	0	9.2167	1
140	1	0	24	0	0	79.2	0
141	3	1	999	0	2	15.2458	0
142	3	1	22	0	0	7.75	1
143	3	1	24	1	0	15.85	1
144	3	0	19	0	0	6.75	2
145	2	0	18	0	0	11.5	1
146	2	0	19	1	1	36.75	1
147	3	0	27	0	0	7.7958	1
148	3	1	9	2	2	34.375	1
149	2	0	36.5	0	2	26	1
150	2	0	42	0	0	13	1
151	2	0	51	0	0	12.525	1
152	1	1	22	1	0	66.6	1
153	3	0	55.5	0	0	8.05	1
154	3	0	40.5	0	2	14.5	1
155	3	0	999	0	0	7.3125	1
156	1	0	51	0	1	61.3792	0
157	3	1	16	0	0	7.7333	2
158	3	0	30	0	0	8.05	1
159	3	0	999	0	0	8.6625	1
160	3	0	999	8	2	69.55	1
161	3	0	44	0	1	16.1	1
162	2	1	40	0	0	15.75	1
163	3	0	26	0	0	7.775	1
164	3	0	17	0	0	8.6625	1
165	3	0	1	4	1	39.6875	1
166	3	0	9	0	2	20.525	1
167	1	1	999	0	1	55	1
168	3	1	45	1	4	27.9	1
169	1	0	999	0	0	25.925	1
170	3	0	28	0	0	56.4958	1
171	1	0	61	0	0	33.5	1
172	3	0	4	4	1	29.125	2
173	3	1	1	1	1	11.1333	1
174	3	0	21	0	0	7.925	1
175	1	0	56	0	0	30.6958	0
176	3	0	18	1	1	7.8542	1
177	3	0	999	3	1	25.4667	1
178	1	1	50	0	0	28.7125	0
179	2	0	30	0	0	13	1
180	3	0	36	0	0	0	1
181	3	1	999	8	2	69.55	1
182	2	0	999	0	0	15.05	0
183	3	0	9	4	2	31.3875	1
184	2	0	1	2	1	39	1
185	3	1	4	0	2	22.025	1
186	1	0	999	0	0	50	1
187	3	1	999	1	0	15.5	2
188	1	0	45	0	0	26.55	1
189	3	0	40	1	1	15.5	2
190	3	0	36	0	0	7.8958	1
191	2	1	32	0	0	13	1
192	2	0	19	0	0	13	1
193	3	1	19	1	0	7.8542	1
194	2	0	3	1	1	26	1
195	1	1	44	0	0	27.7208	0
196	1	1	58	0	0	146.5208	0
197	3	0	999	0	0	7.75	2
198	3	0	42	0	1	8.4042	1
199	3	1	999	0	0	7.75	2
200	2	1	24	0	0	13	1
201	3	0	28	0	0	9.5	1
202	3	0	999	8	2	69.55	1
203	3	0	34	0	0	6.4958	1
204	3	0	45.5	0	0	7.225	0
205	3	0	18	0	0	8.05	1
206	3	1	2	0	1	10.4625	1
207	3	0	32	1	0	15.85	1
208	3	0	26	0	0	18.7875	0
209	3	1	16	0	0	7.75	2
210	1	0	40	0	0	31	0
211	3	0	24	0	0	7.05	1
212	2	1	35	0	0	21	1
213	3	0	22	0	0	7.25	1
214	2	0	30	0	0	13	1
215	3	0	999	1	0	7.75	2
216	1	1	31	1	0	113.275	0
217	3	1	27	0	0	7.925	1
218	2	0	42	1	0	27	1
219	1	1	32	0	0	76.2917	0
220	2	0	30	0	0	10.5	1
221	3	0	16	0	0	8.05	1
222	2	0	27	0	0	13	1
223	3	0	51	0	0	8.05	1
224	3	0	999	0	0	7.8958	1
225	1	0	38	1	0	90	1
226	3	0	22	0	0	9.35	1
227	2	0	19	0	0	10.5	1
228	3	0	20.5	0	0	7.25	1
229	2	0	18	0	0	13	1
230	3	1	999	3	1	25.4667	1
231	1	1	35	1	0	83.475	1
232	3	0	29	0	0	7.775	1
233	2	0	59	0	0	13.5	1
234	3	1	5	4	2	31.3875	1
235	2	0	24	0	0	10.5	1
236	3	1	999	0	0	7.55	1
237	2	0	44	1	0	26	1
238	2	1	8	0	2	26.25	1
239	2	0	19	0	0	10.5	1
240	2	0	33	0	0	12.275	1
241	3	1	999	1	0	14.4542	0
242	3	1	999	1	0	15.5	2
243	2	0	29	0	0	10.5	1
244	3	0	22	0	0	7.125	1
245	3	0	30	0	0	7.225	0
246	1	0	44	2	0	90	2
247	3	1	25	0	0	7.775	1
248	2	1	24	0	2	14.5	1
249	1	0	37	1	1	52.5542	1
250	2	0	54	1	0	26	1
251	3	0	999	0	0	7.25	1
